Row,Topic,Has Stem,Stem Length,Has Choices,Choice Count,Has Explanation,Difficulty
119,Acute Lymphoblastic Leukemia (ALL),Yes,657,Yes,5,Yes,MEDIUM
120,Iron Deficiency Anemia (IDA),Yes,495,Yes,5,Yes,MEDIUM
121,Acute Promyelocytic Leukemia (APL; AML-M3),Yes,718,Yes,5,Yes,MEDIUM
122,Hemophilia A (Factor VIII Deficiency),Yes,654,Yes,5,Yes,MEDIUM
123,Beta-Thalassemia Major (Cooley Anemia),Yes,400,Yes,5,Yes,MEDIUM
124,Immune Thrombocytopenic Purpura (ITP),Yes,567,Yes,5,Yes,MEDIUM
125,Chronic Lymphocytic Leukemia (CLL),Yes,693,Yes,5,Yes,MEDIUM
126,Vitamin B12 (Cobalamin) Deficiency with Subacute Combined Degeneration,Yes,826,Yes,5,Yes,MEDIUM
127,Anemia of Chronic Kidney Disease (Anemia of CKD),Yes,640,Yes,5,Yes,MEDIUM
128,Acute Intermittent Porphyria (AIP),Yes,728,Yes,5,Yes,MEDIUM
129,Severe combined immunodeficiency,Yes,1080,Yes,5,Yes,MEDIUM
130,Porphyria Cutanea Tarda (PCT),Yes,693,Yes,5,Yes,MEDIUM
131,Aplastic Anemia,Yes,763,Yes,5,Yes,MEDIUM
132,Folate (Folic Acid) Deficiency,Yes,717,Yes,5,Yes,MEDIUM
133,Chronic granulomatous disease,Yes,1012,Yes,5,Yes,MEDIUM
134,Warm Autoimmune Hemolytic Anemia (AIHA),Yes,598,Yes,5,Yes,MEDIUM
135,Paroxysmal Nocturnal Hemoglobinuria (PNH),Yes,653,Yes,5,Yes,MEDIUM
136,Waldenström Macroglobulinemia (Lymphoplasmacytic Lymphoma),Yes,657,Yes,5,Yes,MEDIUM
137,Bernard-Soulier Syndrome (BSS),Yes,407,Yes,5,Yes,MEDIUM
138,Psychotic disorder due to another medical condition,Yes,584,Yes,5,Yes,MEDIUM
139,Dysthymia ,Yes,708,Yes,5,Yes,MEDIUM
140,Body Dysmorphic Disorder,Yes,781,Yes,5,Yes,MEDIUM
141,Anorexia Nervosa,Yes,715,Yes,5,Yes,MEDIUM
142,Gender Dysphoria,Yes,753,Yes,5,Yes,MEDIUM
143,Cluster Headache,Yes,967,Yes,5,Yes,MEDIUM
144,Idiopathic Intracranial Hypertension,Yes,1197,Yes,5,Yes,HARD
145,Refractory Status Epilepticus,Yes,913,Yes,5,Yes,MEDIUM
146,Increased intracranial pressure with Cushing reflex causing decreased cerebral perfusion pressure; therapeutic hyperventilation mechanism,Yes,877,Yes,5,Yes,MEDIUM
147,Oculomotor nerve (CN III) palsy due to posterior communicating artery aneurysm,Yes,685,Yes,5,Yes,MEDIUM
148,Decompensated Heart Failure with Reduced Ejection Fraction (HFrEF),Yes,1335,Yes,5,Yes,MEDIUM
149,Erb's palsy,Yes,1043,Yes,5,Yes,MEDIUM
150,Serotonin Syndrome,Yes,1100,Yes,5,Yes,HARD
151,Tuberous Sclerosis Complex with infantile spasms,Yes,1424,Yes,5,Yes,MEDIUM
152,Bell Palsy,Yes,1274,Yes,5,Yes,HARD
153,Trigeminal Neuralgia ,Yes,1279,Yes,5,Yes,HARD
154,Hospital acquired pneumonia,Yes,737,Yes,5,Yes,MEDIUM
155,Community acquired pneumonia,Yes,773,Yes,5,Yes,MEDIUM
156,Charcot-Marie-Tooth Disease Type 1A ,Yes,1517,Yes,5,Yes,HARD
157,Herpes Zoster,Yes,1319,Yes,5,Yes,MEDIUM
158,Uncal Herniation with Kernohan Notch Phenomenon,Yes,1087,Yes,5,Yes,HARD
159,Terminal complement pathway deficiency,Yes,792,Yes,5,Yes,MEDIUM
160,HIV infection/AIDS,Yes,637,Yes,5,Yes,MEDIUM
161,Serum sickness,Yes,855,Yes,5,Yes,MEDIUM
162,action potential in motor end plate,Yes,662,Yes,5,Yes,MEDIUM
163,G6PD deficiency,Yes,1051,Yes,5,Yes,MEDIUM
164,T tubules function,Yes,1296,Yes,5,Yes,MEDIUM
165,Tumor lysis syndrome,Yes,790,Yes,5,Yes,MEDIUM
166,Adenosine deaminase deficiency,Yes,1049,Yes,5,Yes,MEDIUM
167,tropomyosin function,Yes,833,Yes,5,Yes,MEDIUM
168,SERCA function,Yes,961,Yes,5,Yes,MEDIUM
169,Brainstem Stroke Localizing to Brainstem Nuclei,Yes,1166,Yes,5,Yes,MEDIUM
170,Brown-Séquard Syndrome (Hemisection of the spinal cord),Yes,899,Yes,5,Yes,MEDIUM
171,prostaglandin effect on kidney,Yes,1381,Yes,5,Yes,MEDIUM
172,ACE Inhibitor Induced Cough ,Yes,1013,Yes,5,Yes,MEDIUM
173,Body Dysmorphic Disorder (BDD),Yes,711,Yes,5,Yes,MEDIUM
174,Dentate nucleus lesion causing lateral cerebellar syndrome (cerebrocerebellum dysfunction),Yes,1055,Yes,5,Yes,MEDIUM
175,Carbamazepine-induced DRESS syndrome,Yes,825,Yes,5,Yes,MEDIUM
176,Functional Neurological Symptom Disorder (Conversion Disorder),Yes,631,Yes,5,Yes,MEDIUM
177,posteromedial papillary muscle rupture ,Yes,880,Yes,5,Yes,MEDIUM
178,Anorexia Nervosa,Yes,651,Yes,5,Yes,MEDIUM
